Methanococcus_vannielii_SB_Complete_GCF000017165v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_vannielii
Methanococcus_maripaludis_C6_Complete_GCF000018485v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_maripaludis
Methanococcus_maripaludis_C7_Complete_GCF000017225v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_maripaludis
Methanococcus_maripaludis_C5_Complete_GCF000016125v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_maripaludis
Methanococcus_maripaludis_Strain_DSM_2067_WGS_GCF002945325v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_maripaludis
Methanococcus_maripaludis_X1_Complete_GCF000220645v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_maripaludis
Methanococcus_maripaludis_S2_Complete_GCF000011585v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_maripaludis
Methanobrevibacter_olleyae_Strain_YLM1_WGS_GCF001563245v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobrevibacter<S>Methanobrevibacter_olleyae
Methanobrevibacter_ruminantium_M1_Complete_GCF000024185v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobrevibacter<S>Methanobrevibacter_ruminantium
Methanobrevibacter_millerae_Strain_SM9_WGS_GCF001477655v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobrevibacter<S>Methanobrevibacter_millerae
Methanobrevibacter_smithii_Strain_KB11_WGS_GCF002813085v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobrevibacter<S>Methanobrevibacter_smithii
Methanobrevibacter_smithii_ATCC_35061_Strain_ATCC_35061_PS_DSMZ_861_Complete_GCF000016525v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobrevibacter<S>Methanobrevibacter_smithii
Methanosphaera_stadtmanae_DSM_3091_Complete_GCF000012545v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanosphaera<S>Methanosphaera_stadtmanae
Methanothermus_fervidus_DSM_2088_Complete_GCF000166095v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanothermaceae<G>Methanothermus<S>Methanothermus_fervidus
Methanobacterium_subterraneum_Strain_A8p_WGS_GCF002813695v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_subterraneum
Methanobacterium_sp_MO_MB1_WGS_GCF002813655v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_subterraneum
Methanobacterium_formicicum_WGS_GCF000953115v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_formicicum
Methanobacterium_formicicum_WGS_GCF001458655v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_formicicum
Methanobacterium_formicicum_Strain_BRM9_WGS_GCF000762265v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_formicicum
Methanobacterium_congolense_WGS_GCF900095295v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_congolense
Methanobacterium_paludis_Strain_SWAN1_Complete_GCF000214725v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_paludis
Methanobacterium_lacus_Strain_AL_21_Complete_GCF000191585v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanobacterium<S>Methanobacterium_lacus
Methanothermobacter_wolfeii_WGS_GCF900095815v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanothermobacter<S>Methanothermobacter_wolfeii
Methanothermobacter_marburgensis_str_Marburg_Complete_GCF000145295v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanothermobacter<S>Methanothermobacter_marburgensis
Methanothermobacter_thermautotrophicus_str_Delta_H_Complete_GCF000008645v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanobacteria<O>Methanobacteriales<F>Methanobacteriaceae<G>Methanothermobacter<S>Methanothermobacter_thermautotrophicus
Archaeoglobus_profundus_DSM_5631_Complete_GCF000025285v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Archaeoglobus<S>Archaeoglobus_profundus
Geoglobus_ahangari_Strain_234_WGS_GCF001006045v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Geoglobus<S>Geoglobus_ahangari
Geoglobus_acetivorans_Strain_SBH6_WGS_GCF000789255v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Geoglobus<S>Geoglobus_acetivorans
Ferroglobus_placidus_DSM_10642_Complete_GCF000025505v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Ferroglobus<S>Ferroglobus_placidus
Archaeoglobus_sulfaticallidus_PM70_1_Complete_GCF000385565v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Archaeoglobus<S>Archaeoglobus_sulfaticallidus
Archaeoglobus_veneficus_SNP6_Complete_GCF000194625v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Archaeoglobus<S>Archaeoglobus_veneficus
Archaeoglobus_fulgidus_DSM_8774_WGS_GCF000734035v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Archaeoglobus<S>Archaeoglobus_fulgidus
Archaeoglobus_fulgidus_DSM_4304_Complete_GCF000008665v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Archaeoglobi<O>Archaeoglobales<F>Archaeoglobaceae<G>Archaeoglobus<S>Archaeoglobus_fulgidus
